onset	duration	sample	value	event_class	stim_id	stim_category
2.8933333333	1.0000000000	868	MouseButtonLeft pressed	response	n/a	n/a
2.9633333333	1.0000000000	889	MouseButtonLeft released	response	n/a	n/a
4.2366666667	1.0000000000	1271	MouseButtonLeft pressed	response	n/a	n/a
4.2833333333	1.0000000000	1285	MouseButtonLeft released	response	n/a	n/a
136.0933333333	1.0000000000	40828	MouseButtonLeft pressed	response	n/a	n/a
136.2133333333	1.0000000000	40864	MouseButtonLeft released	response	n/a	n/a
180.5166666667	1.0000000000	54155	MouseButtonLeft pressed	response	n/a	n/a
180.6933333333	1.0000000000	54208	MouseButtonLeft released	response	n/a	n/a
189.6700000000	1.0000000000	56901	MouseButtonLeft pressed	response	n/a	n/a
189.8066666667	1.0000000000	56942	MouseButtonLeft released	response	n/a	n/a
200.3833333333	1.0000000000	60115	MouseButtonLeft pressed	response	n/a	n/a
200.5566666667	1.0000000000	60167	MouseButtonLeft released	response	n/a	n/a
216.3600000000	1.0000000000	64908	MouseButtonLeft pressed	response	n/a	n/a
216.5666666667	1.0000000000	64970	MouseButtonLeft released	response	n/a	n/a
228.9733333333	1.0000000000	68692	MouseButtonLeft pressed	response	n/a	n/a
229.1900000000	1.0000000000	68757	MouseButtonLeft released	response	n/a	n/a
237.7333333333	1.0000000000	71320	MouseButtonLeft pressed	response	n/a	n/a
237.8400000000	1.0000000000	71352	MouseButtonLeft released	response	n/a	n/a
273.9033333333	1.0000000000	82171	MouseButtonLeft pressed	response	n/a	n/a
273.9900000000	1.0000000000	82197	MouseButtonLeft released	response	n/a	n/a
285.8233333333	1.0000000000	85747	MouseButtonLeft pressed	response	n/a	n/a
285.9500000000	1.0000000000	85785	MouseButtonLeft released	response	n/a	n/a
295.6700000000	1.0000000000	88701	MouseButtonLeft pressed	response	n/a	n/a
295.7833333333	1.0000000000	88735	MouseButtonLeft released	response	n/a	n/a
305.3900000000	1.0000000000	91617	MouseButtonLeft pressed	response	n/a	n/a
305.4400000000	1.0000000000	91632	MouseButtonLeft released	response	n/a	n/a
324.5600000000	1.0000000000	97368	MouseButtonLeft pressed	response	n/a	n/a
324.6800000000	1.0000000000	97404	MouseButtonLeft released	response	n/a	n/a
330.7766666667	1.0000000000	99233	MouseButtonLeft pressed	response	n/a	n/a
330.9266666667	1.0000000000	99278	MouseButtonLeft released	response	n/a	n/a
9.8100000000	1.0000000000	2943	fixation_cross	marker	n/a	n/a
158.2000000000	1.0000000000	47460	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
172.8433333333	1.0000000000	51853	Category:IMG=ID:FYLLADIO_2.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_2.tif	Leaflet_Images_1
205.2800000000	1.0000000000	61584	Category:IMG=ID:FYLLADIO_3.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_3.tif	Leaflet_Images_1
247.3566666667	1.0000000000	74207	Category:IMG=ID:FYLLADIO_4.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_4.tif	Leaflet_Images_1
256.9900000000	1.0000000000	77097	Category:IMG=ID:FYLLADIO_5.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_5.tif	Leaflet_Images_1
313.3766666667	1.0000000000	94013	Category:IMG=ID:FYLLADIO_6.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_6.tif	Leaflet_Images_1
334.7733333333	1.0000000000	100432	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
347.7466666667	1.0000000000	104324	EOE	marker	n/a	n/a
347.8500000000	1.0000000000	104355	Category:IMG=ID:FYLLADIO_1.tif=Type:Leaflet_Images_1	stimulus	FYLLADIO_1.tif	Leaflet_Images_1
